date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-01-01,AAPL,0.3724329874992532,0.5473882442689986,23.0,23,0.0,stocktwits
2026-01-01,AMZN,0.2707435446977615,0.5084072215685681,25.0,25,0.0,stocktwits
2026-01-02,AAPL,0.092430930142405,0.5936014895249543,204.0,204,0.0,stocktwits
2026-01-02,AMZN,-0.0615997665912173,0.592517309540108,293.0,293,0.0,stocktwits
2026-01-03,AAPL,0.0255085648116996,0.5086972750490077,41.0,41,0.0,stocktwits
2026-01-03,AMZN,-0.05332787269563,0.6252059336041026,57.0,57,0.0,stocktwits
2026-01-04,AAPL,0.1727762000669759,0.5208377834750976,27.0,27,0.0,stocktwits
2026-01-04,AMZN,0.0995713867039043,0.4538086783523099,47.0,47,0.0,stocktwits
2026-01-05,AAPL,0.0371111032693798,0.5790797528180157,258.0,258,0.0,stocktwits
2026-01-05,AMZN,0.2765124478347359,0.5248654254658595,186.0,186,0.0,stocktwits
2026-01-06,AAPL,-0.1269695411290995,0.5943873999317013,343.0,343,0.0,stocktwits
2026-01-06,AMZN,0.3279583243522732,0.5062210321438745,307.0,307,0.0,stocktwits
2026-01-07,AAPL,-0.0575233493159141,0.6122780855908738,425.0,425,0.0,stocktwits
2026-01-07,AMZN,0.3136184660359644,0.4633600997435065,195.0,195,0.0,stocktwits
2026-01-08,AAPL,-0.0245517533232813,0.595760689844212,657.0,657,0.0,stocktwits
2026-01-08,AMZN,0.2780695289497842,0.4707896112394724,174.0,174,0.0,stocktwits
2026-01-09,AAPL,0.0457546235261916,0.5647914274798792,401.0,401,0.0,stocktwits
2026-01-09,AMZN,0.2548871769454274,0.4726244790568536,133.0,133,0.0,stocktwits
2026-01-10,AAPL,0.2022470462405564,0.4345965590249608,38.0,38,0.0,stocktwits
2026-01-10,AMZN,0.1119332406881519,0.5533830953394834,44.0,44,0.0,stocktwits
2026-01-11,AAPL,0.1325685897503387,0.4761214364111687,33.0,33,0.0,stocktwits
2026-01-11,AMZN,0.2476146027856018,0.4954119485308096,42.0,42,0.0,stocktwits
2026-01-12,AAPL,0.1616460687896298,0.5563329625393,394.0,394,0.0,stocktwits
2026-01-12,AMZN,0.0548337175578841,0.5270681934791175,89.0,89,0.0,stocktwits
2026-01-13,AAPL,0.1261781772244086,0.5535012288923671,264.0,264,0.0,stocktwits
2026-01-13,AMZN,0.1093125604135026,0.6166819596882332,111.0,111,0.0,stocktwits
2026-01-14,AAPL,0.0522114401117367,0.5228438188731156,251.0,251,0.0,stocktwits
2026-01-14,AMZN,0.158593809889903,0.5366084017235697,143.0,143,0.0,stocktwits
2026-01-15,AAPL,-0.0308215768529115,0.5745203932677457,286.0,286,0.0,stocktwits
2026-01-15,AMZN,0.0866563281576548,0.5272840077648883,112.0,112,0.0,stocktwits
2026-01-16,AAPL,0.0069473169311614,0.6216981043909289,350.0,350,0.0,stocktwits
2026-01-16,AMZN,0.2011880397106308,0.5225877437215632,114.0,114,0.0,stocktwits
2026-01-17,AAPL,0.0828106513846728,0.5438659372568261,59.0,59,0.0,stocktwits
2026-01-17,AMZN,0.2510697301649661,0.4878263681270162,27.0,27,0.0,stocktwits
2026-01-18,AAPL,0.0696392693328407,0.5501082174958296,53.0,53,0.0,stocktwits
2026-01-18,AMZN,0.1135341691081115,0.5938310617869282,47.0,47,0.0,stocktwits
2026-01-19,AAPL,0.0008124148358322,0.5874971200926803,73.0,73,0.0,stocktwits
2026-01-19,AMZN,0.1493363837778036,0.567172595258822,42.0,42,0.0,stocktwits
2026-01-20,AAPL,-0.0390632863792782,0.5787752388205588,524.0,524,0.0,stocktwits
2026-01-20,AMZN,0.0390175709885974,0.5710417441160347,156.0,156,0.0,stocktwits
2026-01-21,AAPL,-0.008128043583058,0.5576075669403078,495.0,495,0.0,stocktwits
2026-01-21,AMZN,-0.0747345348781641,0.6075371263336702,218.0,218,0.0,stocktwits
2026-01-22,AAPL,-0.0343939899944533,0.5555276137264228,351.0,351,0.0,stocktwits
2026-01-22,AMZN,0.17768123152122,0.546257031858631,149.0,149,0.0,stocktwits
2026-01-23,AAPL,-0.0465480707817014,0.5947254949423904,286.0,286,0.0,stocktwits
2026-01-23,AMZN,0.3007569753036868,0.5141578569849339,112.0,112,0.0,stocktwits
2026-01-24,AAPL,0.0281817292522949,0.5068435477611857,60.0,60,0.0,stocktwits
2026-01-24,AMZN,-0.0975409419741481,0.5217134340887705,30.0,30,0.0,stocktwits
